"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","additional info","quality"
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,0.347455487504232,5
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,1.56303427591226,5
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,0.453333786784103,6
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,1.12655021302695,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,-0.257262176680173,6
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,-1.153119911318,8
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,0.142101998915343,7
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,0.784933755089987,6
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,0.0539687099589598,7
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,0.946943200098342,5
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,0.0112980508042126,7
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,-0.33775287356433,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,-0.952890071365859,5
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,-0.624471128955954,6
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,-0.0149490408612745,6
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,-1.26189463860864,7
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,0.468282340046924,5
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,1.21199672851518,7
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,1.4988580586863,5
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,-0.0184440243416287,6
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,1.80327009878645,6
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,-0.215648356520269,6
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,0.821547360638607,5
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,0.32409366081142,5
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,-0.747217470900989,5
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,-1.09311573879775,5
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,-1.0348876446254,5
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,1.59691166970682,6
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,0.748385794757746,6
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,-2.14959277339792,5
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,1.05146063234555,5
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,-1.449275805379,5
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,-0.563978890758042,6
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,-0.840949779469999,5
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,-0.0968586447814368,6
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,0.7361903915011,6
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,0.0994200300453332,6
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,1.3690501527175,6
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,-1.18799930955702,6
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,1.71875551297928,6
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,-0.630233384732549,5
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,-1.28482506844019,5
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,-1.55923269928549,6
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,0.462048078185886,5
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,-0.59489546738005,6
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,-0.394298514616193,7
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,2.40639969086286,6
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,-0.622058715421574,7
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,0.641707714966266,5
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,0.303301249241524,5
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,-0.628324477986675,6
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,-0.398656475715056,6
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,-2.01511914371626,6
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,1.61535957251896,7
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,0.600544865307046,5
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,0.0186040593072558,6
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,-0.760465813098172,5
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,0.16587276353606,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,0.164669007779866,6
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,1.27922876256191,6
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,0.753374267437036,5
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,0.0351794108766957,7
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,-1.47745926796845,7
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,-1.26501604789487,6
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,-0.57067170196618,5
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,0.823392280184398,6
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,-0.107108122937447,7
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,1.26146230492629,6
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,-0.842819549147321,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,1.35673318754675,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,-0.449523449027143,6
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,1.31498202034298,6
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,-0.245948396706259,5
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,1.18913853610429,7
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,0.919128569223495,6
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,-1.04593353738509,6
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,-0.756407509480395,6
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,-1.28970681524691,6
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,-1.98184659100002,6
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,0.185169746150694,5
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,-1.30509500989685,5
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,-0.516269256922292,6
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,-1.05177567721912,6
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,-0.156270177345265,5
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,0.354039742266054,7
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,-1.15514568899332,7
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,-0.420993438348027,6
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,-1.07994200499308,5
8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,1.06103607141622,6
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,-0.372330080823509,5
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,0.469968121223492,5
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,0.215721933342691,7
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,0.775637986117197,6
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,-0.294639307637029,7
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,-0.0351421874326826,5
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,0.0342785817776096,5
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,-0.954105645524337,7
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,1.15034204775754,5
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,-0.31066851870372,6
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,1.12789605086393,6
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,1.08806043649187,5
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,-1.19325779927526,6
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,0.0336798042636686,7
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,-0.342015052942772,6
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,-0.434105805434017,7
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,1.543433374161,6
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,1.51601400568365,6
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,0.798605958299458,6
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,-3.05744744869672,6
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,-0.654354557251566,6
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,-1.9519298198388,6
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,-0.833891568132156,5
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,0.803337579367724,6
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,0.841569729473751,6
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,-1.61119074710898,6
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,-0.190612610161287,6
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,0.808707508241846,7
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,-1.01038745764562,8
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,-0.504546764881204,6
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,0.809240551348562,5
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,-1.11298679029811,5
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,-1.43150185592701,5
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,0.327100738929913,7
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0.31190495016612,5
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,0.218726553230501,6
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,-1.63528041381377,6
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,-0.617741712982611,5
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0.403526444290216,5
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,-1.07131962291317,6
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,-0.305112084800089,6
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,-0.387407132718196,6
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,1.18005344769536,5
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,0.606299438327054,6
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,0.724650762285327,6
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,1.14001580883293,7
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,0.141392361671386,6
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,0.956581921428758,4
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,-0.380570818031205,6
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,-0.518584902645916,5
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,0.814376484172959,5
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,-0.108068702846781,7
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,1.39406997057992,5
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,0.0733122721764496,5
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,-0.353928919819583,6
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,0.679634702753141,5
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,-0.348977995769526,6
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,0.534912813332502,5
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,1.4534439137741,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,1.09521647361931,7
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,0.168527001286069,5
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,-1.24622330213029,7
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,-0.746651324716565,5
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,-1.41847130572619,7
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,0.652518776502525,6
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,-1.06479056592843,6
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,-0.905989941763578,5
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,1.52877890071129,6
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,-0.458896731127355,7
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,-0.469589330108573,5
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,-0.726979782925907,6
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,-1.48296082019642,5
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,0.261292255120609,6
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,-0.684852531419552,5
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,-1.5465672836556,6
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,0.549053742994879,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,-0.0116259737887687,6
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,-1.09806288649147,5
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,0.0742790407456539,8
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,0.302899243284085,6
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,1.78571084009063,7
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,1.59153210192873,7
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,1.17522776351779,7
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,-0.577960342038628,6
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,-1.13883142448951,5
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,0.791595520684128,5
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,1.55376472004546,6
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,-0.928066488596799,6
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,-0.538446956062752,6
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,-0.703192777789926,6
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,-0.00701507511190245,6
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,0.704495534941246,7
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,0.439068916374817,5
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,0.703721228413597,8
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,1.08360373230198,5
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,-1.80659059869561,5
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,-0.164463932569922,7
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,-1.3411900384313,3
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,-0.0373795201684437,6
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,-1.41588227193102,5
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,2.98424545322748,5
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,0.228552583435015,5
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,1.03512004251795,6
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,-0.42755325822091,5
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,0.270679075264237,6
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,1.43803751925897,6
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,0.157077075552179,6
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,-0.282154560856143,5
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,-1.18382167541525,5
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,0.250461713891065,6
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,0.0657338255754367,6
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,-1.49281302440668,5
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,1.31748743284336,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,-0.123251594913334,5
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,0.987445611307753,5
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,0.831349899422367,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,1.76038328395838,5
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,1.56847017801792,6
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,0.796704582759088,5
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,1.7442982446227,8
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,-1.08219579236282,5
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,1.49873488733713,5
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,-1.10249121579232,6
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,-1.16893029709838,5
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,-0.725532288725632,5
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,0.480476428292546,6
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,-0.285252297203108,7
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,-0.18143849915253,6
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,0.440808034674766,6
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,-0.568725744227774,7
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,0.227342449021706,7
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,-1.40859565590661,6
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,-0.667978897979838,6
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,0.205165978397545,8
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,0.0117774948640978,6
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,0.13232733483667,5
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,-0.350749728971665,8
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,2.84253281407977,6
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,-0.691473038671871,6
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,1.71996817217609,7
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,-0.557201125763817,7
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,0.603045347862785,7
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,2.43909584152279,7
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,-0.341385937599497,7
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,0.789132769482453,7
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,-0.207762722712299,6
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,-0.299923660945313,6
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,-0.0858951856715083,7
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,-0.796240193773402,5
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,-0.18452400540316,6
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,-2.33064925715185,6
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,0.113765363371479,7
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,-0.165099610548144,7
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,0.717715625217842,5
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,0.445095413902918,6
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,0.259498554615212,3
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,-0.677168480937517,6
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,-0.583145731277701,5
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,1.45631609713783,6
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,0.726290777417117,5
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,-0.0306200547577948,5
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,0.648482856175148,5
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,-0.2995622511149,5
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,-1.45391916954847,5
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,0.457615878958436,5
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,-2.09119031782337,6
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,1.11543121940749,6
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0.675991170095421,5
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,0.104888356488436,6
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,-0.0839274938194153,5
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,1.18665675357745,5
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,0.598014878923409,6
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,-0.529223410493775,6
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,-0.374310844016657,6
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,1.33348908362254,5
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,-0.260366281378746,6
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,-0.0481562270899732,7
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,0.22033594396326,5
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,-0.509321735380304,5
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,-0.955329845345084,6
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,0.862709345378071,5
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,0.391622413835181,6
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,-0.0915172347473506,6
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,0.312299308535964,5
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,0.0540756987718414,6
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,0.528475341355094,6
